,text,label,humour,text_conv
0,kal raat se pet mein jalan aur ye daave mein jyaada thee in phaikt daal mein mirch cheenee to riple mein thee lagabhag aadha kilo pleej 1 glaas doodh dena,1,1,कल रात से पेट में जलन और ये दावे में ज्यादा थी इन फैक्ट दाल में मिर्च चीनी तो रिप्ले में थी लगभग आधा किलो प्लीज 1 ग्लास दूध देना
1,use 1 nek salaah detee hoon chailenj ke kanjoos teevee staar shamita malhotra ne shooting mein 35 logon ke lie bhelapuree mangavaee edalts prodyoosar ko mupht paanee se kurakure aur direktar bahas pooree hone tak,0,1,का उपयोग 1 नेक सालाह detee हूं chailenj ke kanjoos teevee STAAR शमिता मल्होत्रा ​​ne शूटिंग mein 35 लॉगऑन ke झूठ bhelapuree mangavaee edalts prodyoosar ko mupht paanee से kurakure aur direktar bahas pooree होन तक
2,bhaeeya gosip nyooz chenal laalach na hona chaahie rasaayan uvarrak aur mere lie phaishan dijainar maindee ke kutte ne dobaara shaadee kee raimbo se gosip chhaate rahate betukee,0,1,bhaeeya gosip nyuj chenal laalach na hona chaahie rasayan urvarak aur mere lie phaishan dijainar maindee ke kutte ne dobaara shaadee kee raimbo se gosip chhaate rahate betukee
3,4 phlor vaalee beejal baad yahaan unhonne apanee bahoo ko 4 ande maare kyoon misej vaadiya kee bahoo ne misej vaadiya ko angoor ke laaye the to plaastik ke god se,0,1,4 phlor vaalee beejal baad यहां unhonne apanee Bahoo ko 4 ande मारे Kyoon misej vaadiya Kee Bahoo ne misej vaadiya ko अंगूर ke laaye plaastik ke भगवान से करने के लिए
4,tum donon yah gosip karana band karo pleej,0,0,तुम दोनों यह गॉसिप करना बंद करो प्लीज
5,aur himaanee shak mein patnee sarita ne dinesh visheshagy aur use divors lene kee dhamakee dee hai,1,1,और हिमानी शक में पत्नी सरिता ने दिनेश विशेषज्ञ और उसे डिवोर्स लेने की धमकी दी है
6,aaj kya intaranaishanal gosip selibriteej ya kloj phrend kam se kam unake baare mein tumase pad ke lie oke or se ghoshit karun,0,1,आज क्या इंटरनैशनल गॉसिप सेलिब्रिटीज या क्लोज फ्रेंड कम से कम उनके बारे में तुमसे पद के लिए ओके और से घोषित करूँ
7,ab kyon bataane vaale ke dinesh ankal ka fir se kisee ke saath apheyar hai,0,0,अब क्यों बताने वाले के दिनेश अंकल का फिर से किसी के साथ अफेयर है
8,nahin na is baar to videsh mein koee apaharan nahin kiya sarita ka mijaaj aisa hee auraten shankaalu purush apane hasaband pe saaree auraten tha,0,1,नहीं न इस बार तो विदेश में कोइ अपहरण नहीं किया सरिता का मिजाज ऐसा ही औरतें शंकालु पुरुष अपने हसबैंड पे सारी औरतें था
9,edam aur eev donon akele the phir bhee main daave ke saath kahata hoon ki 100 % i1ing dampashakkar dephinetalee kyon kya baat hai aaj ok leeph kee jagah mein palleev lagaate lekin meree aavashyak kaary nahin jaanate,0,1,edam aur eev donon akele the phir bhee main daave ke saath kahata hoon ki 100 % i1ing dampashakkar dephinetalee kyon kya baat hai aaj ok leeph kee jagah mein palleev lagaate lekin meree aavashyak kaary nahin jaanate
